date,region,store_id,product_category,product_id,product_name,unit_price,units_sold,total_sales,customer_type,marketing_campaign,discount_percentage,customer_satisfaction,temperature,day_of_week,holiday,inventory_level,profit_margin,shipping_cost,vendor_id
2023-01-06,East,302,Electronics,E014,Portable Speaker,59.99,25,1499.75,Regular,No,0,4.2,15,Friday,No,48,23.5,3.99,V001
2023-01-06,West,405,Grocery,G129,Premium Coffee,16.99,62,1053.38,Regular,Yes,5,4.0,21,Friday,No,145,16.8,0.00,V008
2023-01-06,North,102,Clothing,C053,Winter Scarf,19.95,47,937.65,Regular,No,0,3.8,27,Friday,No,95,24.9,0.00,V002
2023-01-06,South,204,Home,H022,Floor Lamp,89.99,14,1259.86,Premium,Yes,8,4.6,34,Friday,No,27,20.3,7.99,V003
2023-01-06,East,306,Beauty,B041,Face Serum,34.99,32,1119.68,Regular,No,0,4.4,13,Friday,No,64,29.7,0.00,V010
2023-01-06,West,402,Electronics,E019,Smart Speaker,129.99,19,2469.81,Premium,Yes,10,4.5,18,Friday,No,31,18.9,0.00,V001
2023-01-07,North,101,Grocery,G087,Artisan Bread,5.99,93,557.07,Regular,No,0,4.1,26,Saturday,No,208,12.5,0.00,V008
2023-01-07,South,203,Clothing,C067,Running Shorts,29.99,38,1139.62,Regular,Yes,5,4.0,35,Saturday,No,76,26.3,0.00,V002
2023-01-07,East,301,Home,H016,Blender Set,119.95,13,1559.35,Regular,No,0,4.3,16,Saturday,No,29,19.4,4.99,V003
2023-01-07,West,404,Beauty,B025,Perfume,79.99,21,1679.79,Premium,Yes,15,4.7,20,Saturday,No,47,31.5,0.00,V010
2023-01-07,North,103,Electronics,E005,Noise Cancelling Headphones,199.99,11,2199.89,Premium,No,0,4.6,25,Saturday,No,24,22.8,0.00,V001
2023-01-07,South,202,Grocery,G063,Premium Chips,3.99,127,506.73,Regular,Yes,0,3.8,36,Saturday,No,253,14.1,0.00,V008
2023-01-07,East,304,Clothing,C091,Sweater,59.95,26,1558.70,Regular,No,0,4.2,14,Saturday,No,52,25.9,0.00,V002
2023-01-07,West,401,Home,H031,Air Fryer,99.99,17,1699.83,Regular,Yes,8,4.5,19,Saturday,No,33,21.2,5.99,V003
2023-01-08,North,105,Beauty,B018,Body Lotion,15.99,58,927.42,Regular,No,0,3.9,27,Sunday,Yes,114,28.6,0.00,V010
2023-01-08,South,205,Electronics,E024,Wireless Earbuds,89.99,24,2159.76,Regular,Yes,5,4.3,33,Sunday,Yes,46,20.7,0.00,V001
2023-01-08,East,307,Grocery,G074,Organic Juice,7.49,83,621.67,Regular,No,0,4.0,15,Sunday,Yes,176,13.8,0.00,V008
2023-01-08,West,403,Clothing,C115,Designer Sunglasses,149.95,9,1349.55,Premium,Yes,10,4.8,18,Sunday,Yes,21,29.4,0.00,V002
2023-01-08,North,104,Home,H009,Cookware Set,199.99,7,1399.93,Premium,No,0,4.6,26,Sunday,Yes,16,18.5,9.99,V003
2023-01-08,South,201,Beauty,B034,Hair Styling Kit,49.95,19,949.05,Regular,Yes,15,4.1,35,Sunday,Yes,45,30.8,2.99,V010
2023-01-08,East,302,Electronics,E011,Smart Home Hub,129.99,13,1689.87,Regular,No,0,4.4,14,Sunday,Yes,27,21.6,0.00,V001
2023-01-08,West,405,Grocery,G097,Premium Chocolate,11.99,67,803.33,Regular,Yes,5,3.9,20,Sunday,Yes,158,15.7,0.00,V008
2023-01-09,North,102,Clothing,C047,Winter Hat,17.95,52,933.40,Regular,No,0,3.7,25,Monday,No,105,23.4,0.00,V002
2023-01-09,South,204,Home,H024,Desk Lamp,39.99,23,919.77,Regular,Yes,8,4.2,34,Monday,No,48,20.9,3.99,V003
2023-01-09,East,306,Beauty,B046,Face Wash,21.99,41,901.59,Regular,No,0,4.0,16,Monday,No,82,27.3,0.00,V010
2023-01-09,West,402,Electronics,E033,Portable Hard Drive,79.99,18,1439.82,Regular,Yes,10,4.3,19,Monday,No,35,19.5,0.00,V001
2023-01-09,North,101,Grocery,G083,Specialty Pasta,4.49,112,502.88,Regular,No,0,3.8,27,Monday,No,227,12.9,0.00,V008
2023-01-09,South,203,Clothing,C071,Athletic Shoes,79.95,14,1119.30,Premium,Yes,5,4.5,35,Monday,No,32,26.8,0.00,V002
2023-01-09,East,301,Home,H013,Food Processor,149.99,9,1349.91,Regular,No,0,4.4,13,Monday,No,21,18.7,6.99,V003
2023-01-09,West,404,Beauty,B051,Makeup Brush Set,29.99,34,1019.66,Regular,Yes,15,4.1,20,Monday,No,67,31.2,0.00,V010
2023-01-10,North,103,Electronics,E002,Tablet Pro,499.99,6,2999.94,Premium,No,0,4.7,26,Tuesday,No,15,21.3,0.00,V001
2023-01-10,South,202,Grocery,G125,Premium Cookies,8.49,78,662.22,Regular,Yes,0,3.9,33,Tuesday,No,164,14.6,0.00,V008
2023-01-10,East,304,Clothing,C093,Business Suit,249.95,5,1249.75,Premium,No,0,4.6,15,Tuesday,No,12,28.2,0.00,V002
2023-01-10,West,401,Home,H035,Stand Mixer Pro,299.99,6,1799.94,Premium,Yes,8,4.8,19,Tuesday,No,14,22.5,9.99,V003
2023-01-10,North,105,Beauty,B022,Hair Treatment,24.99,39,974.61,Regular,No,0,4.0,25,Tuesday,No,78,29.4,0.00,V010
2023-01-10,South,205,Electronics,E026,Gaming Mouse,59.99,22,1319.78,Regular,Yes,5,4.3,35,Tuesday,No,43,19.8,0.00,V001
2023-01-10,East,307,Grocery,G059,Organic Snacks,6.99,91,636.09,Regular,No,0,4.1,14,Tuesday,No,183,13.2,0.00,V008
2023-01-10,West,403,Clothing,C112,Designer Tie,39.95,17,679.15,Regular,Yes,10,4.4,18,Tuesday,No,36,27.6,0.00,V002
2023-01-11,North,104,Home,H005,Knife Block,69.99,15,1049.85,Regular,No,0,4.5,27,Wednesday,No,31,19.3,4.99,V003
2023-01-11,South,201,Beauty,B029,Nail Care Kit,19.99,47,939.53,Regular,Yes,15,3.8,34,Wednesday,No,95,30.5,0.00,V010
2023-01-11,East,302,Electronics,E008,Bluetooth Speaker,89.99,19,1709.81,Regular,No,0,4.2,16,Wednesday,No,38,21.9,3.99,V001
2023-01-11,West,405,Grocery,G121,Gourmet Coffee,15.49,59,914.41,Regular,Yes,5,4.3,20,Wednesday,No,128,16.4,0.00,V008
2023-01-11,North,102,Clothing,C049,Wool Socks,12.95,73,945.35,Regular,No,0,3.9,26,Wednesday,No,154,24.7,0.00,V002
2023-01-11,South,204,Home,H026,Coffee Maker Pro,129.99,11,1429.89,Premium,Yes,8,4.7,33,Wednesday,No,24,21.1,5.99,V003
2023-01-11,East,306,Beauty,B043,Facial Toner,18.99,51,968.49,Regular,No,0,4.0,15,Wednesday,No,103,28.9,0.00,V010
2023-01-11,West,402,Electronics,E021,Wireless Mouse,39.99,27,1079.73,Regular,Yes,10,4.1,19,Wednesday,No,54,20.3,0.00,V001
2023-01-12,North,101,Grocery,G079,Artisan Cheese,8.99,85,764.15,Regular,No,0,4.2,25,Thursday,No,172,15.1,0.00,V008
2023-01-12,South,203,Clothing,C065,Running Jacket,69.95,16,1119.20,Regular,Yes,5,4.4,36,Thursday,No,35,26.5,0.00,V002
2023-01-12,East,301,Home,H011,Toaster,49.99,21,1049.79,Regular,No,0,3.8,14,Thursday,No,45,18.9,3.99,V003
2023-01-12,West,404,Beauty,B019,Moisturizer Set,54.99,18,989.82,Premium,Yes,15,4.6,21,Thursday,No,37,31.7,0.00,V010
2023-01-12,North,103,Electronics,E004,Smart TV,699.99,4,2799.96,Premium,No,0,4.8,27,Thursday,No,9,20.7,0.00,V001
2023-01-12,South,202,Grocery,G039,Premium Nuts,9.99,76,759.24,Regular,Yes,0,4.0,34,Thursday,No,153,14.8,0.00,V008
2023-01-12,East,304,Clothing,C089,Casual Pants,49.95,22,1098.90,Regular,No,0,4.1,16,Thursday,No,47,25.3,0.00,V002
2023-01-12,West,401,Home,H033,Vacuum Cleaner,159.99,8,1279.92,Regular,Yes,8,4.5,20,Thursday,No,19,22.6,7.99,V003
2023-01-13,North,105,Beauty,B014,Hair Shampoo,16.99,61,1036.39,Regular,No,0,3.9,26,Friday,No,123,28.1,0.00,V010
2023-01-13,South,205,Electronics,E023,Game Controller,49.99,25,1249.75,Regular,Yes,5,4.4,33,Friday,No,51,19.4,0.00,V001
2023-01-13,East,307,Grocery,G071,Organic Fruits,7.99,96,767.04,Regular,No,0,4.2,15,Friday,No,193,13.5,0.00,V008
2023-01-13,West,403,Clothing,C107,Designer Scarf,79.95,12,959.40,Premium,Yes,10,4.7,19,Friday,No,26,29.8,0.00,V002
2023-01-13,North,104,Home,H003,Cookware,119.99,9,1079.91,Regular,No,0,4.3,25,Friday,No,22,19.7,6.99,V003
2023-01-13,South,201,Beauty,B027,Hair Styling Tool,89.99,14,1259.86,Premium,Yes,15,4.5,36,Friday,No,29,30.3,2.99,V010
2023-01-13,East,302,Electronics,E010,Portable Charger,29.99,43,1289.57,Regular,No,0,4.0,14,Friday,No,87,21.2,0.00,V001
2023-01-13,West,405,Grocery,G095,Premium Tea,10.49,72,755.28,Regular,Yes,5,3.9,20,Friday,No,147,15.9,0.00,V008
2023-01-14,North,102,Clothing,C043,Winter Boots,99.99,11,1099.89,Regular,No,0,4.4,27,Saturday,No,25,24.3,0.00,V002
2023-01-14,South,204,Home,H028,Microwave,149.95,7,1049.65,Regular,Yes,8,4.1,34,Saturday,No,16,20.5,8.99,V003
2023-01-14,East,306,Beauty,B039,Face Mask,12.99,67,870.33,Regular,No,0,3.8,16,Saturday,No,135,29.1,0.00,V010
2023-01-14,West,402,Electronics,E018,Wireless Keyboard,79.99,18,1439.82,Regular,Yes,10,4.3,19,Saturday,No,37,18.6,0.00,V001
2023-01-14,North,101,Grocery,G075,Specialty Tea,5.99,103,617.97,Regular,No,0,4.0,26,Saturday,No,209,12.7,0.00,V008
2023-01-14,South,203,Clothing,C063,Athletic Jacket,89.95,13,1169.35,Premium,Yes,5,4.6,35,Saturday,No,29,26.9,0.00,V002
2023-01-14,East,301,Home,H015,Food Mixer,69.99,19,1329.81,Regular,No,0,4.2,15,Saturday,No,41,19.1,4.99,V003
2023-01-14,West,404,Beauty,B023,Makeup Palette,39.99,26,1039.74,Regular,Yes,15,4.4,20,Saturday,No,53,31.4,0.00,V010
2023-01-15,North,103,Electronics,E001,Smartphone Case,24.99,48,1199.52,Regular,No,0,3.9,25,Sunday,Yes,97,20.8,0.00,V001
2023-01-15,South,202,Grocery,G119,Premium Chocolate,12.99,65,844.35,Regular,Yes,0,4.1,36,Sunday,Yes,133,15.3,0.00,V008
2023-01-15,East,304,Clothing,C085,Dress Shoes,129.95,8,1039.60,Premium,No,0,4.8,14,Sunday,Yes,19,27.4,0.00,V002
2023-01-15,West,401,Home,H037,Robot Vacuum,249.99,5,1249.95,Premium,Yes,8,4.7,19,Sunday,Yes,12,22.9,0.00,V003
2023-01-15,North,105,Beauty,B016,Body Wash,14.99,57,854.43,Regular,No,0,3.7,27,Sunday,Yes,115,28.7,0.00,V010
2023-01-15,South,205,Electronics,E025,Gaming Headset,69.99,21,1469.79,Regular,Yes,5,4.5,33,Sunday,Yes,43,19.2,0.00,V001
2023-01-15,East,307,Grocery,G055,Organic Cereal,6.49,88,571.12,Regular,No,0,4.0,15,Sunday,Yes,178,13.1,0.00,V008
2023-01-15,West,403,Clothing,C109,Designer Belt,59.95,15,899.25,Regular,Yes,10,4.3,18,Sunday,Yes,32,28.1,0.00,V002
2023-01-16,North,104,Home,H001,Kitchen Set,179.99,6,1079.94,Premium,No,0,4.6,26,Monday,No,14,18.8,9.99,V003
2023-01-16,South,201,Beauty,B031,Nail Polish,9.99,79,789.21,Regular,Yes,15,3.9,35,Monday,No,159,30.6,0.00,V010
2023-01-16,East,302,Electronics,E013,Bluetooth Headphones,69.99,23,1609.77,Regular,No,0,4.2,16,Monday,No,47,21.4,0.00,V001
2023-01-16,West,405,Grocery,G067,Premium Coffee,14.99,64,959.36,Regular,Yes,5,4.3,20,Monday,No,131,16.5,0.00,V008
2023-01-16,North,102,Clothing,C041,Winter Coat,149.99,7,1049.93,Premium,No,0,4.7,25,Monday,No,16,25.7,0.00,V002
2023-01-16,South,204,Home,H030,Coffee Grinder,49.95,21,1048.95,Regular,Yes,8,4.0,34,Monday,No,44,20.2,3.99,V003
2023-01-16,East,306,Beauty,B045,Facial Serum,34.99,29,1014.71,Regular,No,0,4.5,15,Monday,No,59,29.8,0.00,V010
2023-01-16,West,402,Electronics,E020,Power Bank,39.99,31,1239.69,Regular,Yes,10,4.1,19,Monday,No,63,18.9,0.00,V001
2023-01-17,North,101,Grocery,G051,Artisan Bread,4.99,112,558.88,Regular,No,0,4.0,27,Tuesday,No,226,12.4,0.00,V008
2023-01-17,South,203,Clothing,C061,Running Tights,59.95,18,1079.10,Regular,Yes,5,4.4,33,Tuesday,No,37,27.1,0.00,V002
2023-01-17,East,301,Home,H017,Blender Pro,99.99,12,1199.88,Regular,No,0,4.3,14,Tuesday,No,26,19.6,4.99,V003
2023-01-17,West,404,Beauty,B025,Perfume Classic,69.99,17,1189.83,Premium,Yes,15,4.6,21,Tuesday,No,35,31.9,0.00,V010
2023-01-17,North,103,Electronics,E003,Laptop Basic,799.99,3,2399.97,Premium,No,0,4.5,26,Tuesday,No,8,21.5,0.00,V001
2023-01-17,South,202,Grocery,G043,Premium Chips,4.49,115,516.35,Regular,Yes,0,3.8,35,Tuesday,No,232,14.2,0.00,V008
2023-01-17,East,304,Clothing,C081,Business Shirt,45.99,24,1103.76,Regular,No,0,4.1,16,Tuesday,No,49,26.2,0.00,V002
2023-01-17,West,401,Home,H039,Air Purifier,129.99,9,1169.91,Regular,Yes,8,4.4,18,Tuesday,No,21,22.1,6.99,V003
2023-01-18,North,105,Beauty,B012,Hair Conditioner,15.99,53,847.47,Regular,No,0,3.9,25,Wednesday,No,107,28.3,0.00,V010
2023-01-18,South,205,Electronics,E027,Gaming Keyboard,89.99,15,1349.85,Regular,Yes,5,4.3,36,Wednesday,No,31,20.1,0.00,V001
2023-01-18,East,307,Grocery,G063,Organic Chocolate,7.49,92,689.08,Regular,No,0,4.2,15,Wednesday,No,186,13.6,0.00,V008
2023-01-18,West,403,Clothing,C105,Designer Wallet,79.95,14,1119.30,Premium,Yes,10,4.7,20,Wednesday,No,29,29.5,0.00,V002
2023-01-18,North,104,Home,H007,Cookware Set Basic,99.99,11,1099.89,Regular,No,0,4.1,27,Wednesday,No,24,18.4,6.99,V003
2023-01-18,South,201,Beauty,B033,Hair Color Kit,24.99,38,949.62,Regular,Yes,15,4.0,34,Wednesday,No,77,30.9,0.00,V010
2023-01-18,East,302,Electronics,E015,Portable Speaker Mini,39.99,32,1279.68,Regular,No,0,4.2,14,Wednesday,No,65,21.7,2.99,V001
2023-01-18,West,405,Grocery,G091,Premium Nuts Mix,11.99,69,827.31,Regular,Yes,5,3.9,19,Wednesday,No,140,15.5,0.00,V008
2023-01-19,North,102,Clothing,C037,Winter Gloves Pro,34.99,31,1084.69,Regular,No,0,4.3,26,Thursday,No,63,24.9,0.00,V002
2023-01-19,South,204,Home,H032,Stand Mixer Basic,119.95,9,1079.55,Regular,Yes,8,4.0,33,Thursday,No,21,19.9,7.99,V003
2023-01-19,East,306,Beauty,B041,Face Cleansing Brush,29.99,36,1079.64,Regular,No,0,4.4,15,Thursday,No,73,29.3,2.99,V010
2023-01-19,West,402,Electronics,E032,External Drive,69.99,19,1329.81,Regular,Yes,10,4.2,20,Thursday,No,39,19.1,0.00,V001
2023-01-19,North,101,Grocery,G071,Specialty Cheese,9.49,82,778.18,Regular,No,0,4.1,25,Thursday,No,165,14.5,0.00,V008
2023-01-19,South,203,Clothing,C057,Athletic Socks,12.95,67,867.65,Regular,Yes,5,3.8,36,Thursday,No,136,23.8,0.00,V002
2023-01-19,East,301,Home,H019,Food Processor Basic,79.99,14,1119.86,Regular,No,0,4.3,14,Thursday,No,29,18.3,5.99,V003
2023-01-19,West,404,Beauty,B021,Makeup Remover,19.99,49,979.51,Regular,Yes,15,4.0,19,Thursday,No,99,28.7,0.00,V010
2023-01-20,North,103,Electronics,E007,Headphones Basic,49.99,27,1349.73,Regular,No,0,4.1,27,Friday,No,55,20.6,0.00,V001
2023-01-20,South,202,Grocery,G115,Premium Cookies Deluxe,8.99,86,773.14,Regular,Yes,0,4.2,34,Friday,No,172,15.7,0.00,V008
2023-01-20,East,304,Clothing,C073,Dress Shirt Slim,54.95,19,1044.05,Regular,No,0,4.4,16,Friday,No,39,27.3,0.00,V002
2023-01-20,West,401,Home,H041,Robot Mop,179.99,6,1079.94,Premium,Yes,8,4.8,20,Friday,No,13,22.7,0.00,V003
2023-01-20,North,105,Beauty,B010,Body Lotion Set,29.99,37,1109.63,Regular,No,0,3.7,26,Friday,No,75,29.4,0.00,V010
2023-01-20,South,205,Electronics,E029,Smart Watch Basic,149.99,12,1799.88,Premium,Yes,5,4.5,33,Friday,No,25,18.9,0.00,V001
2023-01-20,East,307,Grocery,G047,Organic Snack Bar,5.99,97,581.03,Regular,No,0,4.0,15,Friday,No,195,13.3,0.00,V008
2023-01-20,West,403,Clothing,C103,Designer Gloves,44.95,21,944.95,Regular,Yes,10,4.2,19,Friday,No,43,28.6,0.00,V002
2023-01-21,North,104,Home,H009,Kitchen Tools Set,39.99,26,1039.74,Regular,No,0,4.0,25,Saturday,No,53,18.6,3.99,V003
2023-01-21,South,201,Beauty,B035,Nail Treatment,14.99,59,884.41,Regular,Yes,15,3.9,36,Saturday,No,119,30.1,0.00,V010
2023-01-21,East,302,Electronics,E017,Bluetooth Speaker Pro,89.99,16,1439.84,Regular,No,0,4.4,14,Saturday,No,33,21.3,3.99,V001
2023-01-21,West,405,Grocery,G087,Premium Coffee Beans,16.49,58,956.42,Regular,Yes,5,4.3,21,Saturday,No,118,16.1,0.00,V008
2023-01-21,North,102,Clothing,C035,Winter Hat Pro,24.99,43,1074.57,Regular,No,0,4.0,27,Saturday,No,87,25.1,0.00,V002
2023-01-21,South,204,Home,H034,Coffee Maker Deluxe,139.95,8,1119.60,Premium,Yes,8,4.6,33,Saturday,No,17,20.8,5.99,V003
2023-01-21,East,306,Beauty,B047,Eye Cream,27.99,38,1063.62,Regular,No,0,4.5,15,Saturday,No,77,29.9,0.00,V010
2023-01-21,West,402,Electronics,E022,Wireless Charger Pad,29.99,39,1169.61,Regular,Yes,10,4.1,18,Saturday,No,79,19.7,0.00,V001
2023-01-22,North,101,Grocery,G055,Artisan Pasta,6.49,96,623.04,Regular,No,0,4.0,26,Sunday,Yes,193,12.8,0.00,V008
2023-01-22,South,203,Clothing,C059,Running Cap,19.95,48,957.60,Regular,Yes,5,3.9,35,Sunday,Yes,97,24.6,0.00,V002
2023-01-22,East,301,Home,H021,Blender Mini,59.99,19,1139.81,Regular,No,0,4.2,16,Sunday,Yes,39,18.8,4.99,V003
2023-01-22,West,404,Beauty,B027,Perfume Mini,39.99,29,1159.71,Regular,Yes,15,4.4,20,Sunday,Yes,59,31.6,0.00,V010
2023-01-22,North,103,Electronics,E006,Noise Cancelling Earbuds,129.99,13,1689.87,Premium,No,0,4.7,25,Sunday,Yes,27,22.4,0.00,V001
2023-01-22,South,202,Grocery,G035,Premium Crackers,4.99,107,534.93,Regular,Yes,0,3.8,34,Sunday,Yes,217,14.4,0.00,V008
2023-01-22,East,304,Clothing,C077,Business Pants,64.95,17,1104.15,Regular,No,0,4.3,15,Sunday,Yes,35,26.7,0.00,V002
2023-01-22,West,401,Home,H045,Air Purifier Pro,179.99,7,1259.93,Premium,Yes,8,4.8,19,Sunday,Yes,15,23.2,7.99,V003
2023-01-23,North,105,Beauty,B008,Hair Mask,12.99,64,831.36,Regular,No,0,3.9,27,Monday,No,129,28.9,0.00,V010
2023-01-23,South,205,Electronics,E031,Gaming Mouse Pro,79.99,18,1439.82,Regular,Yes,5,4.5,36,Monday,No,37,19.5,0.00,V001
2023-01-23,East,307,Grocery,G059,Organic Tea,5.49,103,565.47,Regular,No,0,4.1,14,Monday,No,208,13.7,0.00,V008
2023-01-23,West,403,Clothing,C101,Designer Socks,19.95,47,937.65,Regular,Yes,10,4.0,21,Monday,No,95,27.8,0.00,V002
2023-01-23,North,104,Home,H011,Cookware Basic,69.99,16,1119.84,Regular,No,0,4.2,26,Monday,No,33,18.1,5.99,V003
2023-01-23,South,201,Beauty,B037,Hair Spray,12.99,67,870.33,Regular,Yes,15,3.8,33,Monday,No,134,29.7,0.00,V010
2023-01-23,East,302,Electronics,E019,Portable Charger Pro,49.99,28,1399.72,Regular,No,0,4.3,15,Monday,No,57,21.1,0.00,V001
2023-01-23,West,405,Grocery,G083,Premium Tea Sampler,14.99,62,929.38,Regular,Yes,5,4.2,18,Monday,No,125,16.3,0.00,V008
2023-01-24,North,102,Clothing,C033,Winter Boots Pro,129.99,9,1169.91,Premium,No,0,4.6,27,Tuesday,No,19,25.3,0.00,V002
2023-01-24,South,204,Home,H036,Kitchen Scale,29.95,32,958.40,Regular,Yes,8,3.9,34,Tuesday,No,65,20.4,2.99,V003
2023-01-24,East,306,Beauty,B043,Face Mask Set,19.99,46,919.54,Regular,No,0,4.1,16,Tuesday,No,93,28.5,0.00,V010
2023-01-24,West,402,Electronics,E030,Wireless Keyboard Pro,99.99,14,1399.86,Regular,Yes,10,4.4,19,Tuesday,No,29,18.8,0.00,V001
2023-01-24,North,101,Grocery,G067,Specialty Coffee,7.99,89,711.11,Regular,No,0,4.0,26,Tuesday,No,179,13.9,0.00,V008
